species_code,species_fr_source,source_dictionary_sha256
ORS,Orme de Sibérie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ORT,Orme de Thomas,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
OSV,Ostryer de Virginie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PAQ,Parthénocisse à cinq folioles,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEB,Peuplier baumier,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PED,Peuplier à feuilles deltoïdes,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEE,Peuplier d'Italie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEG,Peuplier à grandes dents,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEH,Peuplier hybride,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEL,Peuplier blanc,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PET,Peuplier faux tremble,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PEU,Peuplier européen,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PHO,Physocarpe à feuilles d'obier,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PIB,Pin blanc,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PID,Pin rigide,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PIG,Pin gris,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PIR,Pin rouge,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PIS,Pin sylvestre,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PLO,Platane occidental,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
POF,Potentilla fruticosa,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PRN,Prunier noir,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PRP,Cerisier de Pennsylvanie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PRU,Pruche de l'Est,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PRV,Cerisier de Virginie,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
PYB,Aronie à feuilles d'arbousier,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RES,Résineux inconnu,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RHA,Nerprun à feuilles d'aulne,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RHF,Nerprun bourdaine,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RHM,Nerprun cathartique,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RHR,Herbe a puce,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RHS,Nerprun,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RHT,Sumac vinaigrier,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RIA,Gadellier américain,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RIB,Gadellier ou groseillier,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RIC,Groseillier des chiens,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RIG,Gadellier glanduleux,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RIH,Groseillier hérissé,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RIL,Gadellier lacustre,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RIT,Gadellier amer,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ROA,Rosier aciculaire,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ROP,Robinier faux-acacia,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ROS,Rosier,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RUA,Ronce des Alléghanys,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RUD,Ronce odorante,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RUH,Ronce hispide,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RUI,Framboisier rouge,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RUO,Framboisier noir,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
RUS,Rubus sp.,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SAB,Sapin baumier,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SAC,Sureau blanc,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SAD,Saule discolore,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SAH,Saule humble,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SAK,Saule de Bebb,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SAL,Saule,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SAP,Sureau pubescent,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SHP,Shépherdie du Canada,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SOA,Sorbier d'Amérique,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SOD,Sorbier plaisant,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SOU,Sorbier des oiseleurs,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SPA,Spirée,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SPL,Spirée à larges feuilles,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SPT,Spirée tomenteuse,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SPY,Spirée blanche,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SXL,Saule brillant,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SXN,Saule noir,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SYA,Symphorine blanche,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SYL,Lilas commun,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
SYV,Syringa vulgaris,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
TAC,If du Canada,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
THO,Thuya occidental,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
TIL,Tilleul d'Amérique,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
TOV,Sumac à vernis,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
VIB,Viorne flexible,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
VIC,Viorne cassinoïdes,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
VIE,Viorne comestible,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
VIF,Viorne à feuilles d'érables,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
VIL,Viorne bois-d'orignal,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
VIR,Vigne des rivages,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
VIT,Viorne trilobée,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
ZAA,Clavalier d'Amérique,80030759196a9339cce427aa8756d4429e299c8b801dec0618a19d6eeae6cdc3
